,Name,Price,Kms_driven,Fuel_type,Year,Company
180,Maruti Suzuki S,839199,50866,1,2018,Maruti
181,Maruti Suzuki Alto,421799,24230,4,2019,Maruti
182,Maruti Suzuki Baleno,580599,64275,4,2016,Maruti
183,Hyundai Venue -,986799,8924,4,2019,Hyundai
184,MG Motors Hector,2057399,12208,4,2021,MG
185,Honda City V,1082299,26956,4,2018,Honda
186,Hyundai Grand i10,576999,12223,4,2017,Hyundai
187,Hyundai Grand i10,533199,23960,4,2016,Hyundai
188,Maruti Suzuki Wagon,473299,33687,4,2015,Maruti
189,MG Motors Hector,1838399,24887,4,2020,MG
190,Toyota Innova 2.5,800000,74000,1,2013,Toyota
191,BMW 3 Series,1890000,61000,1,2015,BMW
192,Jaguar XF 2.2,2150000,20000,1,2014,Jaguar
193,Hyundai Verna Fluidic,699000,26000,4,2015,Hyundai
194,Hyundai Grand i10,451799,71423,4,2015,Hyundai
195,Hyundai Grand i10,446999,34095,4,2015,Hyundai
196,Maruti Suzuki Wagon,470799,32658,4,2016,Maruti
197,Maruti Suzuki Ignis,511799,33166,4,2017,Maruti
198,Maruti Suzuki Wagon,399899,31284,4,2014,Maruti
199,Maruti Suzuki Wagon,375999,66090,4,2015,Maruti
200,Ford Ecosport -,664799,51295,4,2016,Ford
201,Maruti Suzuki Baleno,617799,48693,4,2016,Maruti
202,Maruti Suzuki Ciaz,749299,36626,1,2017,Maruti
203,Renault Duster -,795799,55752,1,2016,Renault
204,Tata Tigor -,543499,49341,1,2017,Tata
205,Maruti Suzuki Alto,317199,60251,4,2015,Maruti
206,Maruti Suzuki Alto,373699,22269,4,2015,Maruti
207,Volkswagen Ameo -,501799,38999,4,2016,Volkswagen
208,Maruti Suzuki Vitara,838699,29110,1,2019,Maruti
209,Hyundai Creta -,1804399,14506,4,2020,Hyundai
210,Hyundai Xcent 1.2,299000,95000,1,2016,Hyundai
211,Ford Figo 1.5,176000,88000,1,2010,Ford
212,Maruti Suzuki Wagon,325000,60000,4,2014,Maruti
213,Hyundai Creta -,1804399,14506,4,2020,Hyundai
214,Maruti Suzuki S,985299,29115,1,2017,Maruti
215,Maruti Suzuki Baleno,642899,34763,4,2017,Maruti
216,Maruti Suzuki Ciaz,740000,12500,1,2015,Maruti
217,Renault Kwid CLIMBER,463099,44696,4,2017,Renault
218,Maruti Suzuki Alto,350599,33004,4,2018,Maruti
219,Hyundai Verna Fluidic,636299,46034,4,2016,Hyundai
220,Hyundai Grand i10,698199,60307,4,2020,Hyundai
221,Hyundai Grand i10,764199,8825,4,2021,Hyundai
222,Maruti Suzuki Celerio,524799,5743,4,2019,Maruti
223,Ford EcoSport Ambiente,420000,87000,1,2013,Ford
224,Maruti Suzuki Celerio,524799,5743,4,2019,Maruti
225,Maruti Suzuki Eeco,493899,25735,4,2019,Maruti
226,Hyundai Elite i20,825299,37522,4,2019,Hyundai
227,Maruti Suzuki Wagon,495499,38955,4,2018,Maruti
228,Hyundai Eon Era,277599,65308,4,2014,Hyundai
229,Maruti Suzuki Wagon,473899,30467,4,2017,Maruti
230,Hyundai Venue S,855299,1954,4,2019,Hyundai
231,Hyundai Santro 1.1,540299,35220,4,2019,Hyundai
232,Hyundai Elite i20,642899,75876,4,2016,Hyundai
233,Maruti Suzuki Alto,442299,27020,4,2021,Maruti
234,Renault Triber 1.0,725399,13739,4,2019,Renault
235,Maruti Suzuki Wagon,558299,21544,4,2019,Maruti
236,Maruti Suzuki Alto,354299,13816,4,2016,Maruti
237,Hyundai Elite i20,673599,23817,4,2016,Hyundai
238,Hyundai Grand i10,525099,60985,4,2017,Hyundai
239,Maruti Suzuki Swift,529699,50141,4,2016,Maruti
240,Fiat Linea Dynamic,256000,30000,4,2012,Fiat
241,Maruti Suzuki XL6,1244799,22292,4,2019,Maruti
242,Honda Amaze -,474399,44013,4,2014,Honda
243,Maruti Suzuki Wagon,389399,96250,4,2016,Maruti
244,Maruti Suzuki Swift,562399,59839,4,2017,Maruti
245,Hyundai Grand i10,446699,49693,4,2015,Hyundai
246,Renault Kwid RXT,439999,22223,4,2017,Renault
247,Honda Amaze -,918999,8030,4,2021,Honda
248,Volkswagen Polo -,815799,38780,4,2016,Volkswagen
249,Maruti Suzuki Vitara,896799,31919,1,2018,Maruti
250,Hyundai i10 Sportz,411399,47564,4,2015,Hyundai
251,Hyundai Grand i10,498999,42836,4,2013,Hyundai
252,Ford Figo -,357999,50488,4,2015,Ford
253,Maruti Suzuki Ignis,462599,12916,4,2018,Maruti
254,Hyundai Elite i20,695199,30731,4,2016,Hyundai
255,Maruti Suzuki Eeco,490399,8825,4,2019,Maruti
256,Renault Kwid RxL,340099,21627,4,2016,Renault
257,Maruti Suzuki Ertiga,997899,5580,4,2020,Maruti
258,Hyundai i10 Sportz,351599,41371,4,2013,Hyundai
259,Maruti Suzuki Swift,603799,42313,4,2016,Maruti
260,Hyundai Elite i20,599799,74913,4,2016,Hyundai
261,Maruti Suzuki Wagon,456099,74760,4,2018,Maruti
262,Ford Ecosport -,993699,34045,1,2019,Ford
263,Maruti Suzuki Ritz,312299,143147,4,2010,Maruti
264,Hyundai Venue -,1221799,28149,4,2019,Hyundai
265,Maruti Suzuki Swift,522999,38049,4,2015,Maruti
266,Hyundai EON Magna,323399,78895,4,2014,Hyundai
267,Hyundai Grand i10,510799,27027,4,2015,Hyundai
268,Maruti Suzuki Vitara,910799,23940,4,2020,Maruti
269,Renault Captur -,722899,26678,4,2018,Renault
270,Honda WR V,809499,41342,1,2018,Honda
271,Maruti Suzuki Alto,297399,59614,4,2013,Maruti
272,Maruti Suzuki Alto,411999,39550,4,2016,Maruti
273,Renault Triber -,623399,28621,4,2019,Renault
274,Honda Brio -,372399,60437,4,2013,Honda
275,Maruti Suzuki Wagon,518099,26598,4,2018,Maruti
276,Honda Amaze -,485599,62723,4,2015,Honda
277,Maruti Suzuki Baleno,636899,21145,4,2017,Maruti
278,Hyundai Grand i10,396999,48699,4,2013,Hyundai
279,Ford Ecosport -,980399,10102,4,2019,Ford
280,Maruti Suzuki Baleno,658999,34881,4,2017,Maruti
281,Hyundai EON D,304099,53997,4,2015,Hyundai
282,Maruti Suzuki Alto,362599,49076,4,2015,Maruti
283,Maruti Suzuki Alto,344199,65951,4,2014,Maruti
284,Skoda Rapid 1.5,550000,136000,1,2015,Skoda
